vType_accel;vType_color;vType_decel;vType_hphm;vType_hpzl;vType_id;vType_lcCooperative;vType_lcKeepRight;vType_lcSpeedGain;vType_lcStrategic;vType_length;vType_maxSpeed;vType_minGap;vType_sigma;vType_tau;vType_width;vehicle_depart;vehicle_id;vehicle_type;route_edges
3;1,0,0;4;22986866467ea26a332efee73d75e9b0;02;vtype106;1;1;1;1;4.3;7.224536935497513;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22054.0;106;vtype106;60267 69749704 63393
3;1,0,0;4;6e7283570c60865ac0fd0b39aab2694c;02;vtype109;1;1;1;1;4.3;6.920007736459801;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22203.0;109;vtype109;89156370 89156369
3;1,0,0;4;dd4e86818732c4f1d001e7c441da0153;02;vtype111;1;1;1;1;4.3;11.872034264335037;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22251.0;111;vtype111;60267 69749704 63393
3;1,0,0;4;8a542409e46126fb245d4153d5b0ce7d;02;vtype112;1;1;1;1;4.3;8.45009029160548;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22271.0;112;vtype112;89156385 13467163 13467164
3;1,0,0;4;079dca08d8275a3a4b2c17ec8b99f334;02;vtype114;1;1;1;1;4.3;8.519406950728438;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22358.0;114;vtype114;60267 69749704 63393
3;1,0,0;4;d407c95c136205870a682c26e26593e9;02;vtype115;1;1;1;1;4.3;9.304404915302806;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22369.864;115;vtype115;89156519 64129 63402
3;1,0,0;4;36fe338dbd5bd3df8c0b41fe08646f00;02;vtype119;1;1;1;1;4.3;10.83401613201591;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22584.0;119;vtype119;60267 69749704 63393
3;1,0,0;4;41464fc288d625edd2370130f048f724;02;vtype121;1;1;1;1;4.3;10.314150105246226;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22697.0;121;vtype121;60267 69749704 63393
3;1,0,0;4;912c77d95ca3976ea5dad3915f697149;01;vtype123;1;1;1;1;4.3;8.066761424312702;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22754.54;123;vtype123;89156519 64129 63402
3;1,0,0;4;a7e0666dc5f32dbff015b42c85a4b5f8;01;vtype124;1;1;1;1;4.3;7.2436033374187705;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22762.701;124;vtype124;89156519 64129 63402
3;1,0,0;4;39bf22c967ab9edeb74e2ab208cf4f7b;02;vtype125;1;1;1;1;4.3;6.485730478315599;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22770.0;125;vtype125;63397 64135
3;1,0,0;4;663dce560a51c3dd48edd43f6ab2b934;02;vtype128;1;1;1;1;4.3;10.390382539010487;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22796.0;128;vtype128;60267 69749704 63393
3;1,0,0;4;1a4f46e5630c4ce91d881f0243c40854;02;vtype129;1;1;1;1;4.3;10.041688236451739;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22802.0;129;vtype129;63397 64135
3;1,0,0;4;fcdd8cfb30f375250578ee61268b7095;02;vtype130;1;1;1;1;4.3;8.273189903041846;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22807.0;130;vtype130;63397 64135
3;1,0,0;4;24b8de20ed9c9c1644fa764f8bcd52f8;02;vtype131;1;1;1;1;4.3;10.549371194052732;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22816.805;131;vtype131;89156519 64129 63402
3;1,0,0;4;23b0390da80e756eb8abed52c8db99bf;02;vtype135;1;1;1;1;4.3;10.232577184035367;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;22876.664;135;vtype135;89156371 89156372
3;1,0,0;4;20a6a15ad782f3a83afb697b826cd0f9;02;vtype141;1;1;1;1;4.3;10.214831840353034;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23075.0;141;vtype141;60267 69749704 63393
3;1,0,0;4;e610f7523e9b008b5435e8e9434071b7;01;vtype142;1;1;1;1;4.3;8.254164611652268;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23096.0;142;vtype142;95608510 95608511 95608502 95608494
3;1,0,0;4;42321fa26975524350348029201d4d2d;02;vtype143;1;1;1;1;4.3;10.703947470290117;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23113.0;143;vtype143;60267 69749704 63393
3;1,0,0;4;24923e64b439305db997c833d4b751f3;02;vtype144;1;1;1;1;4.3;8.051979120198936;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23247.0;144;vtype144;64166 64170 64153 70349217 70349218 60141
3;1,0,0;4;ebb2f29f7c5dd701f4e04c484053a12a;02;vtype146;1;1;1;1;4.3;5.746978893403897;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23294.042;146;vtype146;13467166 13085807
3;1,0,0;4;a05e8440e4ede04f6f9f648851e41e8a;02;vtype147;1;1;1;1;4.3;8.0023247239784;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23354.274;147;vtype147;60140 70349219 64157 64163 64161 60564 61357 89156329 13467379 13467378
3;1,0,0;4;ee99ade4847ca31f6b0a884bbf1207fd;02;vtype150;1;1;1;1;4.3;9.251623272804423;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23419.0;150;vtype150;13467402 19775667 63301
3;1,0,0;4;6df75520a322677231c5222f0b4021a3;02;vtype152;1;1;1;1;4.3;8.17978028305417;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23423.0;152;vtype152;89156371 89156372
3;1,0,0;4;c32db27adc4cd863f1cde272124300ee;02;vtype156;1;1;1;1;4.3;10.411015493660342;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23525.0;156;vtype156;19775675 19775669 13467406 63207
3;1,0,0;4;794fdd836b1f6612cd0ed7ed251fc2fd;02;vtype161;1;1;1;1;4.3;9.881301856003564;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23579.0;161;vtype161;60267 69749704 63393
3;1,0,0;4;3d34cb6319f75f15fd1c6fd4856e8814;02;vtype162;1;1;1;1;4.3;7.702312036958786;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23580.0;162;vtype162;95608492 95608504 95608508 95608507
3;1,0,0;4;e65cf873888c54c03990675df8a123fc;02;vtype165;1;1;1;1;4.3;10.206640678824806;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23593.0;165;vtype165;63397 64135
3;1,0,0;4;f0a93554aae260b61b0c2139db436cbc;02;vtype167;1;1;1;1;4.3;6.838557301064815;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23634.0;167;vtype167;19775675 19775669 13467406 63207
3;1,0,0;4;4a13ddeccfc1d28d9af42579fd2cf7cc;02;vtype170;1;1;1;1;4.3;8.657751190986572;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23680.0;170;vtype170;63397 64135
3;1,0,0;4;6c84f67d4e5da41bc6358cba59b05a39;02;vtype173;1;1;1;1;4.3;11.093129986946776;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23726.0;173;vtype173;63397 64135
3;1,0,0;4;9287b08d1a1d416d2bfcac7150fd46a5;02;vtype174;1;1;1;1;4.3;10.039527054395915;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23729.487;174;vtype174;19775516 19775515
3;1,0,0;4;11a9740a35cd78277e33ab8563e9b547;02;vtype181;1;1;1;1;4.3;10.200387121757824;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23801.0;181;vtype181;60267 69749704 63393
3;1,0,0;4;eaf9c3c55afd0c479dae42e162a46d56;02;vtype183;1;1;1;1;4.3;10.753760644466876;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23878.0;183;vtype183;64166 64170 64153 70349217 70349218 60141
3;1,0,0;4;ef4c96a4e1c609fbba4c948d47233aad;02;vtype184;1;1;1;1;4.3;9.760659740864071;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23914.0;184;vtype184;60267 69749704 63393
3;1,0,0;4;f85f8a485cce22f7d60e33e38f13523a;02;vtype187;1;1;1;1;4.3;9.7978538091791;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23936.0;187;vtype187;13467402 19775667 63301
3;1,0,0;4;bd5687ceb1767d904047af585a598d7d;02;vtype188;1;1;1;1;4.3;6.082936020269796;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23963.273;188;vtype188;89156519 64129 63402
3;1,0,0;4;b8f2639ab30f90ce7517e575ce74ff58;02;vtype189;1;1;1;1;4.3;10.172438787850592;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;23971.364;189;vtype189;89156519 64129 63402
3;1,0,0;4;9ec7d39854af6b29fc9bf53c3835147b;02;vtype192;1;1;1;1;4.3;9.982288064206255;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24038.0;192;vtype192;13467166 13085807
3;1,0,0;4;ea198e9b7bec0f8d211b8adefef69772;02;vtype193;1;1;1;1;4.3;7.876444842099079;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24042.0;193;vtype193;19775675 19775669 13467406 63207
3;1,0,0;4;4deb8d4825c1e515585778b969495c73;02;vtype195;1;1;1;1;4.3;9.014256771736658;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24053.676000000003;195;vtype195;89156519 64129 63402
3;1,0,0;4;9290acff44a7f68d68369da161199469;02;vtype197;1;1;1;1;4.3;10.807975745091706;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24109.0;197;vtype197;95608492 95608504 95608508 95608507
3;1,0,0;4;56524ce098c6d85dfa9e06352cdc386f;02;vtype199;1;1;1;1;4.3;7.078099399396535;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24114.0;199;vtype199;60267 69749704 63393
3;1,0,0;4;5255dc812e88a4ba76edd61fce63bb1b;02;vtype200;1;1;1;1;4.3;9.598872256838307;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24125.120000000003;200;vtype200;89156519 64129 63402
3;1,0,0;4;16776b47d94c03d0b3a0cef1df30fef7;01;vtype202;1;1;1;1;4.3;11.558293355614168;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24134.0;202;vtype202;95608510 95608511 95608502 95608494
3;1,0,0;4;c2101b4cafa26a719b385492b60f2700;02;vtype203;1;1;1;1;4.3;9.46379625451589;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24176.509000000002;203;vtype203;89156519 64129 63402
3;1,0,0;4;5b6ebba6e6159f5014705cd0010471bf;01;vtype205;1;1;1;1;4.3;11.109081400996258;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24217.487;205;vtype205;89156519 64129 63402
3;1,0,0;4;3bfe8d34d5503cf0be65ef68f06c38f6;02;vtype206;1;1;1;1;4.3;8.748747580273138;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24230.0;206;vtype206;63397 64135
3;1,0,0;4;df3a61f8adac3ed47eca1c5a605f7169;02;vtype211;1;1;1;1;4.3;9.853290494648048;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24275.0;211;vtype211;70349122
3;1,0,0;4;0dc41f324d2408ba5eee5c5e73c9ca0e;02;vtype216;1;1;1;1;4.3;7.37259698386442;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24330.0;216;vtype216;60267 69749704 63393
3;1,0,0;4;6c150eb0e2819f9d1d7ec8588eeeb88f;02;vtype217;1;1;1;1;4.3;8.041374514978807;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24337.0;217;vtype217;60267 69749704 63393
3;1,0,0;4;01fc2edf5bdb96554ad01adfac765bb5;02;vtype221;1;1;1;1;4.3;8.423312933881702;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24361.0;221;vtype221;19775516 19775515
3;1,0,0;4;4a4e27c41e3929d415907e4dadaac36d;02;vtype222;1;1;1;1;4.3;9.117617064382287;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24365.0;222;vtype222;63397 64135
3;1,0,0;4;14da86fef66b88716f51385bf9446cb6;02;vtype223;1;1;1;1;4.3;10.728997307533202;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24366.0;223;vtype223;60267 69749704 63393
3;1,0,0;4;ba2b4065099f630202f2d3421c5ed2cc;02;vtype224;1;1;1;1;4.3;7.170336531123837;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24368.0;224;vtype224;63397 64135
3;1,0,0;4;e6d7176309e29f73918f30329564fd7f;02;vtype225;1;1;1;1;4.3;6.932957958558374;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24371.0;225;vtype225;63397 64135
3;1,0,0;4;8bc540c96ed7ea0b7f924d6cc5aadfd8;02;vtype226;1;1;1;1;4.3;8.488244189989622;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24374.0;226;vtype226;63397 64135
3;1,0,0;4;31c43beba4d0c67bef8765b42b7de314;01;vtype234;1;1;1;1;4.3;9.765474761741386;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24424.511000000002;234;vtype234;89156519 64129 63402
3;1,0,0;4;8672143c48bf5306772cdec455dab472;02;vtype238;1;1;1;1;4.3;10.302683430576703;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24455.0;238;vtype238;95608492 95608504 95608508 95608507
3;1,0,0;4;e5b5137955edd10e549fd6ac915de837;02;vtype239;1;1;1;1;4.3;8.248230078387252;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24460.0;239;vtype239;60267 69749704 63393
